Registro,Campo,Observaciones,Inicio,Longitud,Ejemplo JUMI,Clasificación,Origen sugerido en Odoo,Existe en Odoo ?,Nombre campo,Nombre tecnico,Modelo,¿Nuevo campo?,Definición / forma de completar
10,SUC_CTA_DEBITO,Sucursal cuenta,78,4,0457,Configurable / posible nuevo,Configuración BBVA / Odoo,No,,,,Sí o parametrizable,OBLIGATORIO CON DATO REAL. Debe configurarse con la sucursal de radicación de la cuenta de débito informada por BBVA.
10,DV_CTA_DEBITO,Dígito verificador,82,2,30,Configurable / posible nuevo,Configuración BBVA / Odoo,No,,,,Sí o parametrizable,OBLIGATORIO CON DATO REAL. Debe configurarse con el dígito verificador de la cuenta informado por BBVA.
10,TIPO_CTA_DEBITO,Tipo de cuenta,84,2,01,Configurable / posible nuevo,Configuración BBVA / Odoo,Tal vez,,,,Sí o parametrizable,OBLIGATORIO. Según el diseño analizado se completa con 01; confirmar con BBVA si aplica al contrato/cuenta del cliente.
10,MONEDA_CTA_DEBITO,0 = pesos,86,1,0,Configurable / posible nuevo,Configuración BBVA / Odoo,Si,Moneda,currency_id,account.move.line,Sí o parametrizable,OBLIGATORIO. Completar con 0 para cuenta en pesos.
10,NRO_CTA_DEBITO,Cuenta débito,87,7,0005799,Configurable / posible nuevo,Configuración BBVA / Odoo,Si,,,,Sí o parametrizable,"OBLIGATORIO CON DATO REAL. Número de la cuenta de débito, 7 posiciones, informado por BBVA."
10,CANTIDAD_ORDENES,Cantidad de registros 020,94,7,0000002,Calculado,Desarrollo,No,,,,,CALCULADO. Cantidad de registros 020 incluidos; completar con ceros a la izquierda hasta 7 posiciones.
10,ENTREGA_LOTE,S o blanco,101,1,,Condicional / revisar,Según alcance,?,,,,,NO OBLIGATORIO PARA ECHEQ. Completar con 1 espacio. Sólo usar S cuando se contrate entrega física de cheques por lote.
10,SUC_ENTREGA_LOTE,Sucursal entrega,102,4,,Condicional / revisar,Según alcance,?,,,,,"CONDICIONAL. Si ENTREGA_LOTE=S, informar sucursal; en caso contrario completar con 4 espacios."
10,FILLER_1,Espacios,106,6,,Fijo técnico,Desarrollo/configuración,No,,,,,OBLIGATORIO TÉCNICO. Completar con 6 espacios.
10,LIBRE_IMPRESION,S/N/blanco,112,1,,Condicional / revisar,Según alcance,?,,,,,"NO OBLIGATORIO PARA EL MVP. Completar con N o 1 espacio, salvo que el cliente tenga contratada impresión libre."
10,NOMBRE_FICHERO,Opcional,113,12,,Condicional / revisar,Según alcance,?,,,,,"OPCIONAL. Puede informarse el nombre del archivo; si no se usa, completar con 12 espacios."
10,FECHA_PROCESO,AAAAMMDD,125,8,20260623,Dato existente,Lote bancario,No,,,,,OBLIGATORIO. Fecha hábil deseada de proceso en formato AAAAMMDD.
10,CONTRATO_PROV,Contrato BBVA,133,20,00170318782700000205,Configurable / posible nuevo,Configuración BBVA / Odoo,No,,,,,OBLIGATORIO CON DATO REAL. Número de contrato de Pago a Proveedores asignado por BBVA.
10,FILLER_FINAL,Espacios,153,698,,Fijo técnico,Desarrollo/configuración,No,,,,,OBLIGATORIO TÉCNICO. Completar con espacios hasta alcanzar 850 caracteres y agregar CR/LF.
20,IDENT_REGISTRO,Fijo 0306,1,4,0306,Fijo técnico,Desarrollo/configuración,No,,,,,OBLIGATORIO TÉCNICO. Completar siempre con 0306.
20,TIPO_REG,Fijo 020,5,3,020,Fijo técnico,Desarrollo/configuración,No,,,,,OBLIGATORIO TÉCNICO. Completar siempre con 020.
20,TIPO_DOC_EMPRESA,Fijo CUIT,8,4,CUIT,Fijo técnico,Desarrollo/configuración,Si,CUIT,vat,res.partner,No,OBLIGATORIO. Completar con CUIT.
20,CUIT_EMPRESA,CUIT emisor,12,13,0030537882871,Dato existente,Compañía,Si,CUIT,vat,res.partner,No,OBLIGATORIO. Mismo CUIT de la compañía emisora informado en 010.
20,SECUENCIA,Fila - 1,25,6,000001,Calculado,Desarrollo,No,,,,,CALCULADO. Número correlativo de registro; completar con ceros a la izquierda hasta 6 posiciones.
20,PRO_NRO_BENEFICIARIO,Código proveedor,31,15,000000000000005,Configurable / posible nuevo,Desarrolllo,No,,,,,OBLIGATORIO. Identificador estable del proveedor; debe coincidir con PRO_NRO_BENEF del registro 090. Definir origen/secuencia en Odoo.
20,NRO_MINUTA,Único por pago,46,8,00078811,Dato existente,Desarrollo,No,,,,,"OBLIGATORIO. Número único por orden de pago, mayor a cero y no reutilizable; debe coincidir con PRO_MINUTA del 090."
20,IMPORTE,Últimos 2 dígitos son decimales,54,13,0000077047200,Dato existente,Configuracion,Si,Importe,amount,account.payment.order,,"OBLIGATORIO. Importe neto de la orden; 13 posiciones, sin separador, con 2 decimales implícitos."
20,NRO_CERT_RET_GANANCIAS,Opcional,67,14,,Condicional / revisar,Configuracion,Si,Certificado Nro. ,certificate_no,account.payment.order.retention.line,,CONDICIONAL. Informar sólo si se envía retención de Ganancias; caso contrario completar con 14 espacios.
20,REGIMEN_GANANCIAS,Opcional,81,30,,Condicional / revisar,?,,,,,,CONDICIONAL. Informar sólo si se envía retención de Ganancias; caso contrario completar con 30 espacios.
20,IMP_RET_GANANCIAS,Opcional,111,13,0000000000000,Condicional / revisar,Configuracion,Si,Importe,amount,account.payment.order,,CONDICIONAL. Informar importe retenido sólo si corresponde; caso contrario completar con 13 ceros.
20,NRO_CERT_RET_IVA,Opcional,124,14,,Condicional / revisar,Configuracion,Si,Certificado Nro. ,certificate_no,account.payment.order.retention.line,,CONDICIONAL. Informar sólo si se envía retención de IVA; caso contrario completar con 14 espacios.
20,REGIMEN_IVA,Opcional,138,30,,Condicional / revisar,?,,,,,,CONDICIONAL. Informar sólo si se envía retención de IVA; caso contrario completar con 30 espacios.
20,PRO_NRO_ORD,Referencia/orden,168,15,202606237791443,Dato existente,Configuracion/Investigar,Si,Ref.Pago,reference,account.payment.order,,"OBLIGATORIO. Referencia/número de orden, 15 posiciones; debe coincidir con el campo homónimo del registro 090."
20,FILLER_1,Espacios,183,8,,Fijo técnico,Desarrollo/Investigar,No,,,,,OBLIGATORIO TÉCNICO. Completar con 8 espacios.
20,ACRED_A_SUSP,Blanco,191,1,,Condicional / revisar,Desarrollo/Investigar,No,,,,,NO UTILIZADO EN ESTE ALCANCE. Completar con 1 espacio.
20,IPERMFIN,S/N/blanco,192,1,N,Condicional / revisar,Desarrollo/Investigar,No,,,,,"CONDICIONAL PARA CHEQUE FÍSICO. Para Echeq usar N o espacio, salvo contratación específica de financiación."
20,CLI_AJE,S si otro banco,193,1,,Condicional / revisar,Desarrollo/Investigar,No,,,,,"CONDICIONAL PARA TRANSFERENCIA AB. Usar S si el CBU destino no comienza con 017; espacio si es BBVA. Para Echeq, espacio."
20,CUIT_PAGO,"Beneficiario distinto, si aplica",194,13,0000000000000,Dato existente,Configuracion/Investigar,,,,,,"CONDICIONAL. Sólo informar si el beneficiario efectivo es distinto del proveedor de la minuta; caso normal, completar con 13 ceros."
20,NOMBRE_PAGO,"Beneficiario distinto, si aplica",207,40,,Condicional / revisar,Configuracion/Investigar,,,,,,"CONDICIONAL. Sólo informar si el beneficiario efectivo es distinto; caso normal, completar con 40 espacios."
20,TIPO_DOCUMENTO,CUI/CUL,247,3,CUI,Condicional / revisar,Configuracion/Investigar,,,,,,"OBLIGATORIO. Tipo de documento del proveedor, normalmente CUI para CUIT o CUL para CUIL."
20,NRO_DOCUMENTO,Documento proveedor,250,11,20139802730,Dato existente,Configuracion/Investigar,,,,,,OBLIGATORIO. Número de documento del proveedor sin guiones; debe coincidir con el registro 090.
20,SUC_ENTREGA,Sucursal entrega,261,4,0318,Condicional / revisar,Configuracion/Investigar,,,,,,OBLIGATORIO SEGÚN DISEÑO. Para Echeq debe definirse/configurarse el valor requerido por el contrato BBVA; confirmar con cliente/banco.
20,FECHA_ENTREGA,AAAAMMDD,265,8,20260623,Dato existente,Configuracion,Si,Fecha efectiva,date_effective,account.payment.mode.line,,OBLIGATORIO CUANDO LA CABECERA USA 99999999. Informar AAAAMMDD y validar día hábil/reglas de modalidad.
20,FECHA_PAGO,AAAAMMDD,273,8,20260623,Dato existente,Configuracion,Si,Fecha de pago,date,account.payment.mode.line,,OBLIGATORIO CUANDO LA CABECERA USA 99999999. Informar AAAAMMDD y validar según Echeq al día o diferido.
20,FORMA_PAGO,EC/AB/CH/MP,281,2,EC,Fijo técnico,Configuracion,Si,Metodo de pago,payment_mode_line_ids,account.payment.order,,OBLIGATORIO. EC para Echeq; AB para transferencia; CH para cheque; MP si una orden tiene varios instrumentos.
20,FORMA_COBRO,0,283,1,0,Fijo técnico,Configuracion,Si,Metodo de pago,payment_mode_line_ids,account.payment.order,,OBLIGATORIO TÉCNICO. Completar con 0.
20,DISPON_P,Modalidad,284,1,1,Configurable / posible nuevo,Desarrollo/Investigar,No,,,,,OBLIGATORIO SEGÚN MODALIDAD. Código 0-7 para tipo de cheque/Echeq; si FORMA_PAGO=MP usar 9 y definirlo en cada 025.
20,DEPOSITO,0,285,1,0,Fijo técnico,Desarrollo ,No,,,,,OBLIGATORIO TÉCNICO. Completar con 0.
20,NRO_CHEQUE,Cheque/Echeq,286,13,8010955400000,Configurable,Si,Si,Numero de cheque,number,account.check,,"CONDICIONAL. Informar el número cuando el contrato/chequera lo requiera; si no corresponde, completar con 13 ceros. Debe coincidir con Odoo/banco."
20,COD_DEVOLUCION,Salida/devolución,299,6,,Condicional / revisar,Desarrollo/Investigar,No,,,,,"CAMPO DE DEVOLUCIÓN, NO SE INFORMA EN ALTA. Completar con 6 espacios."
20,DESC_DEVOLUCION,Salida/devolución,305,40,,Condicional / revisar,Desarrollo/Investigar,No,,,,,"CAMPO DE DEVOLUCIÓN, NO SE INFORMA EN ALTA. Completar con 40 espacios."
20,FILLER_FINAL,Espacios,345,506,,Fijo técnico,Desarrollo,No,,,,,OBLIGATORIO TÉCNICO. Completar con espacios hasta alcanzar 850 caracteres y agregar CR/LF.
90,IDENT_REGISTRO,Fijo 0306,1,4,0306,Fijo técnico,Desarrollo,No,,,,,OBLIGATORIO TÉCNICO. Completar siempre con 0306.
90,TIPO_REG,Fijo 090,5,3,090,Fijo técnico,Desarrollo,No,,,,,OBLIGATORIO TÉCNICO. Completar siempre con 090.
90,TIPO_DOC_EMPRESA,Fijo CUIT,8,4,CUIT,Fijo técnico,Configuracion,Si,,,,,OBLIGATORIO. Completar con CUIT.
90,CUIT_EMPRESA,CUIT emisor,12,13,0030537882871,Dato existente,Configuracion,Si,,,,,OBLIGATORIO. Mismo CUIT de la compañía emisora informado en 010/020.
90,SECUENCIA,Fila - 1,25,6,000002,Calculado,Desarrollo,No,,,,,CALCULADO. Número correlativo de registro; completar con ceros a la izquierda hasta 6 posiciones.
90,PRO_NRO_ORD,Referencia/orden,31,15,202606237791443,Dato existente,Configuracion/Investigar,Si,Ref.Pago,reference,account.payment.order,,OBLIGATORIO. Debe coincidir con PRO_NRO_ORD del registro 020.
90,PRO_NRO_BENEF,Código proveedor,46,15,000000000000005,Configurable / posible nuevo,Configuracion/Desarrollo/Investigar,Posiblemente,Codigo de cliente,,,,OBLIGATORIO. Código/identificador del proveedor; debe coincidir con PRO_NRO_BENEFICIARIO del 020.
90,PRO_EST_BENEF,Fijo 1,61,1,1,Fijo técnico,Desarrollo,No,,,,,OBLIGATORIO TÉCNICO. Completar con 1.
90,PRO_DOCTO_TIP,CUI/CUL/etc.,62,3,CUI,Condicional / revisar,Configuracion/Investigar,,,,,,"OBLIGATORIO. Tipo de documento del proveedor: CUI, CUL u otro código admitido."
90,PRO_DOCTO_NRO,Documento proveedor,65,11,20139802730,Dato existente,Configuracion,Si,CUIT,vat,res.partner,,"OBLIGATORIO. Documento del proveedor sin guiones, 11 posiciones para CUIT/CUIL."
90,PRO_DENOMINA,Razón social,76,40,"Goldstein, Mario",Dato existente,Configuracion,Si,Nombre,name,res.partner,,"OBLIGATORIO. Razón social/nombre del proveedor, hasta 40 caracteres."
90,PRO_CATEGO,Blanco,116,2,,Condicional / revisar,Desarrollo/Investigar,No,,,,,NO UTILIZADO. Completar con 2 espacios.
90,PRO_PERMIT_FINAN,S/N/blanco,118,1,N,Condicional / revisar,Desarrollo/Investigar,No,,,,,CONDICIONAL PARA CHEQUE FÍSICO. Para Echeq usar N o espacio.
90,PRO_CUS_TIP,Ceros,119,2,00,Condicional / revisar,Desarrollo/Investigar,No,,,,,CAMPO ANTIGUO/NO UTILIZADO. Completar con 2 ceros.
90,PRO_CUS_SUC,Ceros,121,3,000,Condicional / revisar,Desarrollo/Investigar,No,,,,,CAMPO ANTIGUO/NO UTILIZADO. Completar con 3 ceros.
90,PRO_CUS_NRO,Ceros,124,10,0000000000,Condicional / revisar,Desarrollo/Investigar,No,,,,,CAMPO ANTIGUO/NO UTILIZADO. Completar con 10 ceros.
90,PRO_CBU_NRO,CBU,134,22,0000000000000000000000,Dato existente,Configuracion,Si,CBU,cbu,res.partner,,CONDICIONAL. Obligatorio para transferencias AB; para Echeq puede completarse con 22 ceros si no se utiliza.
90,PRO_INGBRTS,Ingresos Brutos,156,11,,Condicional / revisar,Configuracion/Investigar,Si,Numero de registro de IIBB,nro_insc_iibb,res.partner,,"CONDICIONAL. Informar si se procesan retenciones de IIBB; si no, completar con espacios."
90,PRO_CALLE,Calle,167,24,General Guido 1455,Dato existente,Configuracion,Si,Calle,street,res.partner,,"OBLIGATORIO SEGÚN DISEÑO. Informar domicilio del proveedor, hasta 24 caracteres."
90,PRO_NUMERO,Número,191,5,,Dato existente,Configuracion,Si,Numero,num,res.partner,,"OPCIONAL. Informar número si está separado; si no, completar con espacios."
90,PRO_DEPTO,Depto,196,3,,Dato existente,Configuracion,Si,Departamento,apartment,res.partner,,"OPCIONAL. Informar departamento si existe; caso contrario, espacios."
90,PRO_PISO,Piso,199,2,,Dato existente,Configuracion,Si,Piso,floor,res.partner,,"OPCIONAL. Informar piso si existe; caso contrario, espacios."
90,PRO_LOCALID,Localidad,201,28,,Dato existente,Configuracion,Si,Ciudad,city,res.partner,,"OPCIONAL SEGÚN DISEÑO. Conviene informarla si existe; si no, completar con espacios."
90,PRO_CPOSTAL,Código postal,229,5,,Dato existente,Configuracion,Si,Codigo postal,zip,res.partner,,"OPCIONAL SEGÚN DISEÑO. Informar código postal si existe; si no, completar con espacios."
90,PRO_CODPROV,Código provincia,234,2,02,Condicional / revisar,Configuracion/Desarrollo/Investigar,,,,res.partner,,"OBLIGATORIO. Mapear la provincia de Odoo al código BBVA de 2 posiciones (ej.: 02 Buenos Aires, 13 Mendoza)."
90,PRO_CODPAIS,080 Argentina,236,3,080,Condicional / revisar,Configuracion/Desarrollo/Investigar,,,,res.partner,,OBLIGATORIO. Para Argentina completar con 080.
90,PRO_EMAIL,Email,239,40,imprentageneralpaz@hotmail.com,Dato existente,Configuracion,Si,Correo electronico,email,res.partner,,"OBLIGATORIO SEGÚN DISEÑO ANALIZADO. Informar email del proveedor, hasta 40 caracteres."
90,PRO_CALLE_ENTREGA,Opcional,279,24,,Condicional / revisar,Investigar,?,,,,,NO OBLIGATORIO PARA ECHEQ. Completar con 24 espacios.
90,PRO_NUMERO_ENTREGA,Opcional,303,5,,Condicional / revisar,Investigar,?,,,,,NO OBLIGATORIO PARA ECHEQ. Completar con 5 espacios.
90,PRO_DEPTO_ENTREGA,Opcional,308,3,,Condicional / revisar,Investigar,?,,,,,NO OBLIGATORIO PARA ECHEQ. Completar con 3 espacios.
90,PRO_PISO_ENTREGA,Opcional,311,2,,Condicional / revisar,Investigar,?,,,,,NO OBLIGATORIO PARA ECHEQ. Completar con 2 espacios.
90,PRO_LOCALID_ENTREGA,Opcional,313,28,,Condicional / revisar,Investigar,?,,,,,NO OBLIGATORIO PARA ECHEQ. Completar con 28 espacios.
90,PRO_CPOSTAL_ENTREGA,Opcional,341,5,,Condicional / revisar,Investigar,?,,,,,NO OBLIGATORIO PARA ECHEQ. Completar con 5 espacios.
90,PRO_CODPROV_ENTREGA,Opcional,346,2,,Condicional / revisar,Investigar,?,,,,,NO OBLIGATORIO PARA ECHEQ. Completar con 2 espacios.
90,PRO_CODPAIS_ENTREGA,Opcional,348,3,,Condicional / revisar,Investigar,?,,,,,NO OBLIGATORIO PARA ECHEQ. Completar con 3 espacios.
90,PRO_TELEF_TIP,Opcional,351,2,,Condicional / revisar,Investigar,?,,,,,"OPCIONAL. Si no se informa teléfono, completar con 00 o 2 espacios."
90,PRO_TELEF_PRE,Opcional,353,4,,Condicional / revisar,Investigar,?,,,,,"OPCIONAL. Si no se informa teléfono, completar con 4 espacios."
90,PRO_TELEF_CAR,Opcional,357,4,,Condicional / revisar,Investigar,?,,,,,"OPCIONAL. Si no se informa teléfono, completar con 4 espacios."
90,PRO_TELEF_NRO,Opcional,361,5,,Condicional / revisar,Investigar,?,,,,,"OPCIONAL. Si no se informa teléfono, completar con 5 espacios."
90,PRO_TELEF_INT,Opcional,366,18,,Condicional / revisar,Investigar,?,,,,,"OPCIONAL. Si no se informa teléfono, completar con 18 espacios."
90,PRO_TELEF_ALT_TIP,Opcional,384,2,,Condicional / revisar,Investigar,?,,,,,"OPCIONAL. Si no se informa teléfono alternativo, completar con 00 o 2 espacios."
90,PRO_TELEF_ALT_PRE,Opcional,386,4,,Condicional / revisar,Investigar,?,,,,,"OPCIONAL. Si no se informa, completar con 4 espacios."
90,PRO_TELEF_ALT_CAR,Opcional,390,4,,Condicional / revisar,Investigar,?,,,,,"OPCIONAL. Si no se informa, completar con 4 espacios."
90,PRO_TELEF_ALT_NRO,Opcional,394,5,,Condicional / revisar,Investigar,?,,,,,"OPCIONAL. Si no se informa, completar con 5 espacios."
90,PRO_TELEF_ALT_INT,Opcional,399,18,,Condicional / revisar,Investigar,?,,,,,"OPCIONAL. Si no se informa, completar con 18 espacios."
90,PRO_AUTORIZA_NOM1,Cheque físico,417,25,,Condicional / revisar,Investigar,?,,,,,"CONDICIONAL PARA CHEQUE FÍSICO CH. Para Echeq, completar con 25 espacios."
90,PRO_AUTORIZA_TIP1,Cheque físico,442,3,,Condicional / revisar,Investigar,?,,,,,"CONDICIONAL PARA CHEQUE FÍSICO CH. Para Echeq, completar con 3 espacios."
90,PRO_AUTORIZA_DOC1,Cheque físico,445,8,00000000,Condicional / revisar,Investigar,?,,,,,"CONDICIONAL PARA CHEQUE FÍSICO CH. Para Echeq, completar con 8 ceros."
90,PRO_AUTORIZA_NOM2,Opcional,453,25,,Condicional / revisar,Investigar,?,,,,,"OPCIONAL. Para Echeq, completar con 25 espacios."
90,PRO_AUTORIZA_TIP2,Opcional,478,3,,Condicional / revisar,Investigar,?,,,,,"OPCIONAL. Para Echeq, completar con 3 espacios."
90,PRO_AUTORIZA_DOC2,Opcional,481,8,00000000,Condicional / revisar,Investigar,?,,,,,"OPCIONAL. Para Echeq, completar con 8 ceros."
90,PRO_AUTORIZA_NOM3,Opcional,489,25,,Condicional / revisar,Investigar,?,,,,,"OPCIONAL. Para Echeq, completar con 25 espacios."
90,PRO_AUTORIZA_TIP3,Opcional,514,3,,Condicional / revisar,Investigar,?,,,,,"OPCIONAL. Para Echeq, completar con 3 espacios."
90,PRO_AUTORIZA_DOC3,Opcional,517,8,00000000,Condicional / revisar,Investigar,?,,,,,"OPCIONAL. Para Echeq, completar con 8 ceros."
90,PRO_DATOS,Adicional,525,100,,Condicional / revisar,Investigar,?,,,,,"OPCIONAL. Información adicional libre; si no se usa, completar con 100 espacios."
90,PRO_MINUTA,Debe coincidir con 020,625,8,00078811,Condicional / revisar,Desarrollo/Investigar,No,,,,,OBLIGATORIO. Debe coincidir exactamente con NRO_MINUTA del registro 020.
90,FILLER_FINAL,Espacios,633,218,,Fijo técnico,Desarrollo,No,,,,,OBLIGATORIO TÉCNICO. Completar con espacios hasta alcanzar 850 caracteres y agregar CR/LF.
95,IDENT_REGISTRO,Fijo 0306,1,4,0306,Fijo técnico,Desarrollo,No,,,,,OBLIGATORIO TÉCNICO. Completar siempre con 0306.
95,TIPO_REG,Fijo 095,5,3,095,Fijo técnico,Desarrollo,No,,,,,OBLIGATORIO TÉCNICO. Completar siempre con 095.
95,TIPO_DOC_EMPRESA,Fijo CUIT,8,4,CUIT,Fijo técnico,Configuracion,Si,Tipo de documento,document_type_id,res.partner,,OBLIGATORIO. Completar con CUIT.
95,CUIT_EMPRESA,CUIT emisor,12,13,0030537882871,Dato existente,Configuracion,Si,Tipo de documento,document_type_id,res.partner,,OBLIGATORIO. Mismo CUIT de la compañía emisora.
95,SECUENCIA,Fila - 1,25,6,000005,Calculado,Desarrollo,No,,,,,CALCULADO. Número correlativo del último registro.
95,SUMA_IMPORTE,Últimos 2 dígitos son decimales,31,13,0000164829678,Calculado,Desarrollo,No,,,,,CALCULADO. Suma de importes de todos los registros 020; 13 posiciones y 2 decimales implícitos.
95,CANT_PAGOS,Cantidad de 020,44,7,0000002,Calculado,Desarrollo,No,,,,,CALCULADO. Cantidad de registros 020 incluidos.
95,TOT_REG,Total líneas,51,10,0000000006,Calculado,Desarrollo,No,,,,,"CALCULADO. Cantidad total de líneas del archivo, incluyendo 010 y 095."
95,FILLER_FINAL,Espacios,61,790,,Fijo técnico,Desarrollo,No,,,,,OBLIGATORIO TÉCNICO. Completar con espacios hasta alcanzar 850 caracteres y agregar CR/LF.
